Id Centro -5	CAP_NOMBRE     Provincia	Total
23943	Las Pajanosas	Sevilla	1
23944	Torre de la Reina 'DR. HIGINIO CAPOTE GIL'	Sevilla	1
23945	Herrera	Sevilla	1
23946	Fuentes de Andalucía	Sevilla	1
23947	El Garrobo	Sevilla	1
23948	Gelves	Sevilla	1
23949	Gerena	Sevilla	1
23950	Gilena	Sevilla	1
23951	Gines 'Dr. Juan Antonio González Caraballo'	Sevilla	1
23952	Guadalcanal	Sevilla	1
23953	Faraján	Málaga	1
23954	Frigiliana	Málaga	1
23955	Mondrón	Málaga	1
23956	Periana	Málaga	1
23957	Pizarra	Málaga	1
23958	Villanueva de la Concepción	Málaga	1
23959	La Joya-Nogales	Málaga	1
23960	Árchez	Málaga	1
23961	Archidona	Málaga	1
23962	Estación de Archidona	Málaga	1
23963	Estación Salinas	Málaga	1
23964	Ardales	Málaga	1
23965	Arenas	Málaga	1
23966	Daimalos	Málaga	1
23967	Alozaina	Málaga	1
23968	Alpandeire	Málaga	1
23969	Antequera	Málaga	1
23970	Bobadilla Pueblo	Málaga	1
23971	Bobadilla-Estación	Málaga	1
23972	Colonia Santa Ana	Málaga	1
23973	Cartaojal	Málaga	1
23974	Alora	Málaga	1
23975	Almáchar	Málaga	1
23976	Almargen	Málaga	1
23977	Almogía	Málaga	1
23978	Moclinejo	Málaga	1
23979	Canillas de Albaida	Málaga	1
23980	Cañete la Real	Málaga	1
23981	Carratraca	Málaga	1
23982	Cartajima	Málaga	1
23983	Cártama	Málaga	1
23984	Cártama-Estación	Málaga	1
23985	Pasada de Granadillo	Málaga	1
23986	Benaoján	Málaga	1
23987	Benarrabá	Málaga	1
23988	El Borge	Málaga	1
23989	El Burgo	Málaga	1
23990	Campillos	Málaga	1
23991	Canillas de Aceituno	Málaga	1
23992	Benalmádena (Alcolea)	Málaga	1
23993	Benamargosa	Málaga	1
23994	Benamocarra	Málaga	1
23995	Benadalid	Málaga	1
23996	Benahavís	Málaga	1
23997	Benalauría	Málaga	1
23998	Arroyo de la Miel-Benalmádena	Málaga	1
23999	Arriate	Málaga	1
24000	Atajate	Málaga	1
24001	Igualeja	Málaga	1
24002	Istán	Málaga	1
24003	Iznate	Málaga	1
24004	Jimera de Líbar	Málaga	1
24005	Jubrique	Málaga	1
24006	Júzcar	Málaga	1
24007	Benaque	Málaga	1
24008	Macharaviaya	Málaga	1
24009	Campanillas	Málaga	1
24010	Santa Rosalía	Málaga	1
24011	Los Boliches	Málaga	1
24012	Fuengirola-Oeste	Málaga	1
24013	Fuente de Piedra	Málaga	1
24014	Gaucín	Málaga	1
24015	Genalguacil	Málaga	1
24016	Guaro	Málaga	1
24017	Humilladero	Málaga	1
24019	Estepona	Málaga	1
24020	Cancelada	Málaga	1
24021	Cuevas del Becerro	Málaga	1
24022	Cuevas de San Marcos	Málaga	1
24023	Cútar	Málaga	1
24024	Cómpeta	Málaga	1
24025	La Cañada del Real Tesoro	Málaga	1
24026	El Colmenar	Málaga	1
24027	Cortes de la Frontera	Málaga	1
24028	Cuevas Bajas	Málaga	1
24029	Comares	Málaga	1
24030	Colmenar	Málaga	1
24031	Casabermeja	Málaga	1
24032	Casarabonela	Málaga	1
24033	Casares	Málaga	1
24034	Coín	Málaga	1
